,지하철명,4시~5시,5시~6시,6시~7시,7시~8시,8시~9시,9시~10시,10시~11시,11시~12시,12시~13시,13시~14시,14시~15시,15시~16시,16시~17시,17시~18시,18시~19시,19시~20시,20시~21시,21시~22시,22시~23시,23시~24시,24시~1시,1시~2시,2시~3시,3시~4시,X좌표,Y좌표,_PARCEL_AD
401,인천공항1터미널,0.0,11542.0,24536.0,41682.0,43299.0,31171.0,25604.0,30254.0,35977.0,30578.0,35004.0,38815.0,37265.0,43186.0,41436.0,28793.0,23380.0,21468.0,18615.0,9243.0,3114.0,0.0,0.0,0.0,126.452508,37.447464,인천광역시 중구 운서동 2851
402,인천공항2터미널,0.0,6228.0,12854.0,18552.0,21068.0,11288.0,7449.0,9552.0,11617.0,8507.0,9934.0,14231.0,14519.0,21905.0,20523.0,9593.0,8739.0,7780.0,3291.0,1131.0,692.0,0.0,0.0,0.0,126.441442,37.460699,인천광역시 중구 운서동 2851-111
403,영종,11.0,3283.0,12832.0,18245.0,15235.0,11438.0,9723.0,10310.0,10110.0,8887.0,9676.0,11896.0,13798.0,14866.0,17721.0,16582.0,9246.0,10243.0,7895.0,6264.0,2186.0,0.0,0.0,0.0,126.524254,37.51202,인천광역시 중구 운북동 459-13
404,선바위,1.0,2355.0,16423.0,38227.0,48170.0,32119.0,20201.0,18787.0,20013.0,19970.0,19268.0,21260.0,27936.0,40524.0,50403.0,28428.0,17804.0,15230.0,11258.0,5440.0,763.0,0.0,0.0,0.0,127.002303,37.451673,경기도 과천시 과천동 355
405,경마공원,2.0,842.0,3564.0,6053.0,13811.0,28711.0,44409.0,24365.0,22505.0,20967.0,19205.0,18088.0,24496.0,36425.0,65298.0,10759.0,3009.0,1713.0,1060.0,688.0,145.0,2.0,0.0,0.0,127.007888,37.443885,경기도 과천시 과천동 654
406,대공원,10.0,423.0,3760.0,5786.0,15181.0,25719.0,29383.0,21250.0,24007.0,24815.0,25066.0,26056.0,26870.0,23096.0,13736.0,5961.0,4836.0,3042.0,1012.0,391.0,64.0,0.0,0.0,0.0,127.006523,37.435675,경기도 과천시 막계동 287-1
407,과천,4.0,3198.0,12581.0,34441.0,35011.0,22688.0,17648.0,15924.0,17335.0,17480.0,17473.0,19272.0,22863.0,25582.0,32045.0,24499.0,15201.0,14769.0,12777.0,7339.0,1423.0,0.0,0.0,0.0,126.996568,37.433021,경기도 과천시 별양동 2
408,정부과천청사,8.0,3071.0,20793.0,45699.0,88636.0,33752.0,23076.0,22489.0,24364.0,25805.0,26657.0,27880.0,37512.0,53532.0,79378.0,33965.0,24815.0,23923.0,15057.0,7263.0,1366.0,0.0,0.0,0.0,126.98978,37.426513,경기도 과천시 중앙동 6-3
409,인덕원,74.0,11843.0,46371.0,123942.0,174171.0,88193.0,59129.0,52919.0,55143.0,58503.0,56132.0,62841.0,79764.0,117126.0,170867.0,103039.0,63259.0,60857.0,47509.0,26151.0,5784.0,0.0,0.0,0.0,126.976715,37.401553,경기도 안양시 동안구 관양동 1563
410,평촌,66.0,7252.0,31025.0,96140.0,135504.0,60363.0,39363.0,34572.0,35675.0,38095.0,36428.0,40313.0,49998.0,78684.0,116364.0,68617.0,41298.0,37406.0,30239.0,14885.0,3658.0,0.0,0.0,0.0,126.963883,37.394287,경기도 안양시 동안구 관양동 1608-1
411,범계,145.0,12398.0,48869.0,122616.0,136681.0,86432.0,65623.0,62962.0,69184.0,72182.0,70087.0,78385.0,95295.0,119296.0,166295.0,116423.0,76680.0,66491.0,53555.0,27339.0,5432.0,0.0,0.0,0.0,126.950806,37.389793,경기도 안양시 동안구 호계동 1039-2
412,한티,43.0,3770.0,16650.0,48706.0,79683.0,62634.0,42354.0,38416.0,45896.0,52352.0,44202.0,50485.0,62420.0,84351.0,89912.0,56463.0,46128.0,39006.0,39856.0,10714.0,645.0,2.0,0.0,0.0,127.052873,37.496237,서울특별시 강남구 도곡동 556-13
413,구룡,1.0,1594.0,9326.0,14730.0,12201.0,7439.0,6219.0,5538.0,5889.0,5558.0,5990.0,7581.0,13684.0,11714.0,9650.0,6194.0,3750.0,4995.0,2824.0,1605.0,75.0,0.0,0.0,0.0,127.058856,37.486839,서울특별시 강남구 개포동 175-4
414,개포동,3.0,1856.0,11757.0,16089.0,21283.0,14907.0,12024.0,9977.0,11826.0,12530.0,11849.0,13809.0,19571.0,20189.0,20227.0,14412.0,9594.0,9588.0,8626.0,4404.0,137.0,0.0,0.0,0.0,127.06614,37.489116,서울특별시 강남구 개포동 198
415,대모산입구,19.0,3005.0,9888.0,22935.0,30496.0,18176.0,12257.0,11926.0,12979.0,13045.0,11647.0,13983.0,18288.0,21053.0,23166.0,16268.0,9739.0,8949.0,8252.0,4412.0,213.0,0.0,0.0,0.0,127.07272,37.491373,서울특별시 강남구 개포동 196
