,정류장명,24시~1시,1시~2시,2시~3시,3시~4시,4시~5시,5시~6시,6시~7시,7시~8시,8시~9시,9시~10시,10시~11시,11시~12시,12시~13시,13시~14시,14시~15시,15시~16시,16시~17시,17시~18시,18시~19시,19시~20시,20시~21시,21시~22시,22시~23시,23시~24시,X좌표,Y좌표,_ROAD_AD
4552,성현동주민센터,19.0,0.0,0.0,0.0,0.0,1748.0,3040.0,10469.0,23313.0,14383.0,8721.0,8512.0,10583.0,17765.0,18582.0,17328.0,20368.0,13490.0,16549.0,10260.0,5814.0,5928.0,6384.0,2926.0,126.9478309763,37.4900023941,서울특별시 관악구 구암길 47
4553,봉천역6번출구,152.0,0.0,0.0,0.0,0.0,11343.0,17784.0,47139.0,57665.0,33972.0,21489.0,19817.0,23294.0,19570.0,15751.0,17423.0,17100.0,15751.0,16625.0,10203.0,5263.0,4959.0,2945.0,1520.0,126.9434155692,37.4831926771,서울특별시 관악구 봉천로 392
4554,봉천역4번출구,19.0,0.0,0.0,0.0,0.0,3544.0,6211.0,22564.0,25455.0,16039.0,9310.0,9070.0,8741.0,10550.0,9009.0,10112.0,9988.0,8464.0,14116.0,9426.0,5459.0,5041.0,4788.0,2175.0,126.9413900548,37.4836034948,서울특별시 관악구 봉천로 371
4555,두산아파트입구,0.0,0.0,0.0,0.0,0.0,1045.0,2508.0,4427.0,7999.0,5130.0,6023.0,5776.0,6897.0,6517.0,7087.0,9196.0,11267.0,12787.0,12483.0,11894.0,6498.0,7505.0,4636.0,2736.0,126.9468248253,37.4847729966,서울특별시 관악구 양녕로 32
4556,구암초등학교정문,0.0,0.0,0.0,0.0,0.0,855.0,2622.0,6612.0,18715.0,3230.0,3078.0,4826.0,4142.0,3971.0,4085.0,3515.0,5282.0,5263.0,4902.0,5472.0,3021.0,3021.0,3268.0,1824.0,126.9464345431,37.4881663803,서울특별시 관악구 양녕로 70
4557,방앗간,0.0,0.0,0.0,0.0,0.0,703.0,1102.0,1178.0,5396.0,1026.0,893.0,836.0,1273.0,1311.0,1216.0,1387.0,1273.0,1368.0,2014.0,1615.0,627.0,722.0,817.0,570.0,126.9460928644,37.4899711367,서울특별시 관악구 구암5길 31
4558,아카시아마을.민방위교육장,95.0,0.0,0.0,0.0,0.0,4180.0,2546.0,4408.0,4294.0,3059.0,2508.0,2527.0,2831.0,3249.0,2527.0,2850.0,3249.0,4712.0,4294.0,3420.0,1900.0,1216.0,1311.0,760.0,126.9111579098,37.4720991366,서울특별시 관악구 미성길 122
4559,신원동치안센터,589.0,0.0,0.0,0.0,0.0,4712.0,8094.0,26619.0,36746.0,24890.0,13870.0,11134.0,10469.0,11590.0,10735.0,13395.0,14022.0,15523.0,14744.0,12179.0,12046.0,9899.0,9025.0,5396.0,126.9269216146,37.4792376867,서울특별시 관악구 문성로 209
4560,서강약국,1311.0,0.0,0.0,0.0,0.0,8892.0,48564.0,101726.0,149663.0,102676.0,58748.0,51889.0,56202.0,57760.0,56430.0,56943.0,68723.0,72086.0,78299.0,63441.0,52858.0,47880.0,39729.0,26220.0,126.9279661565,37.4794735167,서울특별시 관악구 문성로 217
4561,삼모타워앞,380.0,0.0,0.0,0.0,0.0,6992.0,17480.0,31692.0,31654.0,24567.0,22154.0,23199.0,22496.0,23351.0,22249.0,27455.0,34713.0,41268.0,57570.0,46227.0,32186.0,28101.0,21071.0,12103.0,126.9284597454,37.4824006069,서울특별시 관악구 신림로59길 23
4562,신림역4번출구,7600.0,0.0,0.0,0.0,0.0,50483.0,207100.0,465044.0,612047.0,382964.0,234916.0,210653.0,222604.0,232237.0,230679.0,275348.0,319751.0,368790.0,429115.0,380741.0,278502.0,270313.0,257735.0,173014.0,126.9290485663,37.4839130162,서울특별시 관악구 남부순환로 1606
4563,서원치안센터,874.0,0.0,0.0,0.0,0.0,741.0,6308.0,9177.0,15998.0,9633.0,10773.0,11419.0,15922.0,15580.0,19532.0,24833.0,28595.0,29051.0,32699.0,29659.0,27132.0,27512.0,25251.0,17081.0,126.9291589334,37.4819928275,서울특별시 관악구 신원로 36
4564,뉴서울아파트,494.0,0.0,0.0,0.0,0.0,5567.0,12179.0,23465.0,26296.0,14497.0,10374.0,9994.0,11210.0,11419.0,10583.0,11970.0,14383.0,16093.0,17936.0,16739.0,11932.0,9082.0,7448.0,4256.0,126.9110760714,37.4715124546,서울특별시 관악구 미성10길 55
4565,관악세무서,1482.0,0.0,0.0,0.0,0.0,228.0,2565.0,8987.0,18772.0,8018.0,5168.0,5396.0,6384.0,8170.0,7391.0,10222.0,13946.0,15561.0,21907.0,20330.0,16473.0,13946.0,13414.0,9614.0,126.9244975914,37.4790379194,서울특별시 관악구 문성로 189
4566,난곡터널,2299.0,0.0,0.0,0.0,0.0,14649.0,28595.0,72124.0,82479.0,49362.0,27645.0,23693.0,24092.0,24871.0,24662.0,28519.0,38741.0,40831.0,56183.0,47329.0,29583.0,28329.0,26011.0,17556.0,126.9195566439,37.4783088382,서울특별시 관악구 난우16길 37
4567,신림고등학교,3933.0,0.0,0.0,0.0,0.0,10013.0,25555.0,74271.0,86887.0,71535.0,65683.0,66956.0,68438.0,69388.0,73701.0,85975.0,103911.0,93670.0,105184.0,82916.0,63403.0,57874.0,46379.0,28785.0,126.9168167167,37.4779810811,서울특별시 관악구 문성로 120-5
4568,라이프아파트,2128.0,0.0,0.0,0.0,0.0,7543.0,26296.0,51243.0,72523.0,45277.0,32433.0,31692.0,37943.0,35986.0,36936.0,39083.0,50901.0,52915.0,55385.0,54074.0,34371.0,29564.0,25327.0,16245.0,126.9135636303,37.4771669403,서울특별시 관악구 문성로16길 9
4569,미성중학교,285.0,0.0,0.0,0.0,0.0,1368.0,3876.0,7144.0,10640.0,3933.0,3173.0,2622.0,4522.0,4351.0,2964.0,5738.0,6346.0,5415.0,6688.0,7543.0,4009.0,4351.0,3439.0,3230.0,126.9130747297,37.4756040638,서울특별시 관악구 문성로16길 43
4570,두영아파트,2090.0,0.0,0.0,0.0,0.0,6935.0,22857.0,51224.0,49704.0,24434.0,16891.0,15732.0,17309.0,18088.0,17898.0,21033.0,24928.0,29412.0,38532.0,37905.0,23617.0,21698.0,17784.0,14592.0,126.9135601271,37.4743185413,서울특별시 관악구 미성8길 1
4571,신라놀이터,437.0,0.0,0.0,0.0,0.0,1083.0,2812.0,6403.0,7790.0,5187.0,3857.0,3629.0,3895.0,3990.0,3933.0,4351.0,5225.0,6707.0,5472.0,6878.0,4940.0,4788.0,3990.0,3610.0,126.9124928566,37.4733130222,서울특별시 관악구 미성10길 2
4572,쌍용아파트후문,608.0,0.0,0.0,0.0,0.0,2907.0,6764.0,23902.0,23047.0,12312.0,9975.0,8303.0,9443.0,11286.0,8892.0,9538.0,11476.0,11970.0,14383.0,15542.0,8759.0,8322.0,6536.0,4845.0,126.9116693186,37.4727366024,서울특별시 관악구 미성길 122
4573,낙성대역,0.0,0.0,0.0,76.0,0.0,16948.0,122243.0,238638.0,477729.0,451939.0,348414.0,265639.0,334060.0,337751.0,301899.0,348375.0,408135.0,503295.0,577456.0,428297.0,328893.0,352545.0,346294.0,202836.0,126.9619751956,37.4770791769,서울특별시 관악구 낙성대역길 8
4574,교수아파트,38.0,0.0,0.0,0.0,0.0,0.0,939.0,2936.0,4394.0,1962.0,1495.0,4089.0,5632.0,5242.0,6350.0,7223.0,6812.0,5960.0,7001.0,6095.0,3322.0,4165.0,4004.0,1969.0,126.913422836,37.496296383,서울특별시 동작구 여의대방로10길 14
4575,가족생활동,228.0,0.0,0.0,0.0,0.0,0.0,1976.0,6251.0,9975.0,6308.0,4503.0,9709.0,15656.0,12768.0,16587.0,14896.0,18069.0,18107.0,20045.0,13034.0,8588.0,10887.0,8094.0,5795.0,126.9575483307,37.4663064584,서울특별시 관악구 낙성대로 101
